course_field,course_code
Engineering and related Studies,751610
Engineering and related Studies,283441
Engineering and related Studies,751624
Engineering and related Studies,751623
Engineering and related Studies,609350
Engineering and related Studies,609560
Engineering and related Studies,609032
Engineering and related Studies,609370
Engineering and related Studies,609360
Engineering and related Studies,603131
Engineering and related Studies,603130
Engineering and related Studies,603065
Engineering and related Studies,603016
Engineering and related Studies,603096
Engineering and related Studies,603095
Engineering and related Studies,603019
Engineering and related Studies,603018
Engineering and related Studies,603006
Engineering and related Studies,603005
Engineering and related Studies,603015
Engineering and related Studies,603061
Engineering and related Studies,603060
Engineering and related Studies,603036
Engineering and related Studies,603041
Engineering and related Studies,603040
Engineering and related Studies,603035
Engineering and related Studies,603046
Engineering and related Studies,603045
Engineering and related Studies,603106
Engineering and related Studies,603105
Engineering and related Studies,603056
Engineering and related Studies,603116
Engineering and related Studies,603115
Engineering and related Studies,603055
Engineering and related Studies,603121
Engineering and related Studies,603120
Engineering and related Studies,603071
Engineering and related Studies,603070
Engineering and related Studies,603086
Engineering and related Studies,603085
Engineering and related Studies,482720
Engineering and related Studies,135000
Engineering and related Studies,720136
Engineering and related Studies,513525
Engineering and related Studies,513530
Engineering and related Studies,513600
Engineering and related Studies,513605
Engineering and related Studies,513535
Engineering and related Studies,590200
Engineering and related Studies,513540
Engineering and related Studies,513585
Engineering and related Studies,513571
Engineering and related Studies,590210
Engineering and related Studies,513545
Engineering and related Studies,187495
Engineering and related Studies,197495
Engineering and related Studies,590220
Engineering and related Studies,513555
Engineering and related Studies,513560
Engineering and related Studies,513565
Engineering and related Studies,513570
Engineering and related Studies,513550
Engineering and related Studies,513575
Engineering and related Studies,513580
Engineering and related Studies,513590
Engineering and related Studies,513595
Engineering and related Studies,722510
Engineering and related Studies,722513
Engineering and related Studies,722550
Engineering and related Studies,590320
Engineering and related Studies,590140
Engineering and related Studies,590330
Engineering and related Studies,590340
Engineering and related Studies,334167
Engineering and related Studies,334127
Engineering and related Studies,334168
Engineering and related Studies,334117
Engineering and related Studies,160351
Engineering and related Studies,302584
Engineering and related Studies,482650
Engineering and related Studies,482670
Engineering and related Studies,482680
Engineering and related Studies,482690
Engineering and related Studies,482708
Engineering and related Studies,283447
Engineering and related Studies,482700
Engineering and related Studies,590120
Engineering and related Studies,603141
Engineering and related Studies,212267
Engineering and related Studies,603142
Engineering and related Studies,489920
Engineering and related Studies,729645
Engineering and related Studies,729449
Engineering and related Studies,591210
Engineering and related Studies,338011
Engineering and related Studies,591030
Engineering and related Studies,301008
Engineering and related Studies,640060
Engineering and related Studies,759630
Engineering and related Studies,759050
Engineering and related Studies,283448
Engineering and related Studies,551180
Engineering and related Studies,301038
Engineering and related Studies,135010
Engineering and related Studies,425960
Engineering and related Studies,301209
Engineering and related Studies,301227
Engineering and related Studies,759585
"Food, Hospitality and Personal Services",354300
